
2024/10/15 (16:52:51) | ===> btop++ v.1.4.0
2024/10/15 (16:52:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (16:52:57) | ===> btop++ v.1.4.0
2024/10/15 (16:52:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (16:13:20) | ===> btop++ v.1.4.0
2024/10/18 (16:13:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (16:14:32) | ===> btop++ v.1.4.0
2024/10/18 (16:14:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (16:17:54) | ===> btop++ v.1.4.0
2024/10/18 (16:17:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (09:40:04) | ===> btop++ v.1.4.0
2024/10/29 (09:40:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (09:46:10) | ===> btop++ v.1.4.0
2024/10/29 (09:46:10) | WARNING: Intel GPU: Failed to initialize PMU
